"When catalog price includes tax, enable this setting will fix the price no matter what the customer's tax rate is.",当目录价格包括税收，论客户的税率是多少，该设置将调解价格
Default Tax Destination Calculation,默认税收目标计算
Default State,默认状态
Default Post Code,默认邮编
Price Display Settings,价格显示设置
Display Product Prices In Catalog,在目录中显示产品价格
Display Shipping Prices,显示运费
Shopping Cart Display Settings,购物车显示设置
Display Prices,显示价格
Display Subtotal,显示小计
Display Shipping Amount,显示运费总额
Include Tax In Grand Total,总额包括税收
Display Full Tax Summary,显示全税汇总
Display Zero Tax Subtotal,显示零税小计
"Orders, Invoices, Credit Memos Display Settings","订单,发票,信用备忘录显示设置"
State/Region,州/地区
Subtotal Only,仅小计
Taxes,税利
